Edad,Ano ,Origen,lx
71,2022,Espana,399971
72,2022,Espana,415271
73,2022,Espana,431783
74,2022,Espana,387893
75,2022,Espana,366595
76,2022,Espana,380495
77,2022,Espana,353764
78,2022,Espana,342655
79,2022,Espana,286153
80,2022,Espana,256864
81,2022,Espana,307747
82,2022,Espana,191830
83,2022,Espana,211037
84,2022,Espana,226892
85,2022,Espana,234033
86,2022,Espana,212042
87,2022,Espana,193493
88,2022,Espana,178018
89,2022,Espana,157689
90,2022,Espana,579610
0,2016,UE 28,808
1,2016,UE 28,2099
2,2016,UE 28,2748
3,2016,UE 28,3171
4,2016,UE 28,3615
5,2016,UE 28,4255
6,2016,UE 28,4982
7,2016,UE 28,5120
8,2016,UE 28,5752
9,2016,UE 28,7045
10,2016,UE 28,8260
11,2016,UE 28,9199
12,2016,UE 28,10347
13,2016,UE 28,10986
14,2016,UE 28,12017
15,2016,UE 28,12991
16,2016,UE 28,13566
17,2016,UE 28,13357
18,2016,UE 28,13536
19,2016,UE 28,13919
20,2016,UE 28,15164
21,2016,UE 28,16200
22,2016,UE 28,17437
23,2016,UE 28,19692
24,2016,UE 28,21351
25,2016,UE 28,24427
26,2016,UE 28,28421
27,2016,UE 28,32047
28,2016,UE 28,35102
29,2016,UE 28,37361
30,2016,UE 28,37873
31,2016,UE 28,39063
32,2016,UE 28,38999
33,2016,UE 28,41167
34,2016,UE 28,43999
35,2016,UE 28,45018
36,2016,UE 28,45244
37,2016,UE 28,45360
38,2016,UE 28,46134
39,2016,UE 28,45371
40,2016,UE 28,45487
41,2016,UE 28,46117
42,2016,UE 28,44415
43,2016,UE 28,44158
44,2016,UE 28,44539
45,2016,UE 28,43572
46,2016,UE 28,44104
47,2016,UE 28,45174
48,2016,UE 28,45293
49,2016,UE 28,38938
50,2016,UE 28,37174
51,2016,UE 28,35207
52,2016,UE 28,32236
53,2016,UE 28,29063
54,2016,UE 28,26465
55,2016,UE 28,24506
56,2016,UE 28,22995
57,2016,UE 28,21453
58,2016,UE 28,20145
59,2016,UE 28,19113
60,2016,UE 28,18207
61,2016,UE 28,17469
62,2016,UE 28,17157
63,2016,UE 28,17168
64,2016,UE 28,17087
65,2016,UE 28,17521
66,2016,UE 28,17624
67,2016,UE 28,18336
68,2016,UE 28,19180
69,2016,UE 28,17824
70,2016,UE 28,14923
71,2016,UE 28,16183
72,2016,UE 28,14943
73,2016,UE 28,13993
74,2016,UE 28,12911
75,2016,UE 28,11866
76,2016,UE 28,11546
77,2016,UE 28,9818
78,2016,UE 28,8591
79,2016,UE 28,7278
80,2016,UE 28,6335
81,2016,UE 28,5562
82,2016,UE 28,4887
83,2016,UE 28,4425
84,2016,UE 28,4190
85,2016,UE 28,3774
86,2016,UE 28,2991
87,2016,UE 28,2471
88,2016,UE 28,2131
89,2016,UE 28,1967
90,2016,UE 28,7013
0,2017,UE 28,781
1,2017,UE 28,2248
2,2017,UE 28,3022
3,2017,UE 28,3528
4,2017,UE 28,3713
5,2017,UE 28,4035
6,2017,UE 28,4519
7,2017,UE 28,5199
8,2017,UE 28,5173
9,2017,UE 28,5912
10,2017,UE 28,7117
11,2017,UE 28,8304
12,2017,UE 28,9187
13,2017,UE 28,10269
14,2017,UE 28,10879
15,2017,UE 28,11933
16,2017,UE 28,12953
17,2017,UE 28,13399
18,2017,UE 28,13607
19,2017,UE 28,14310
20,2017,UE 28,14713
21,2017,UE 28,15963
22,2017,UE 28,16932
23,2017,UE 28,18370
24,2017,UE 28,20532
25,2017,UE 28,22093
26,2017,UE 28,25023
27,2017,UE 28,28477
28,2017,UE 28,31882
29,2017,UE 28,34672
30,2017,UE 28,36644
31,2017,UE 28,37120
32,2017,UE 28,38433
33,2017,UE 28,38064
34,2017,UE 28,40156
35,2017,UE 28,42888
36,2017,UE 28,44126
37,2017,UE 28,44140
38,2017,UE 28,44225
39,2017,UE 28,44978
40,2017,UE 28,44291
41,2017,UE 28,44569
42,2017,UE 28,45201
43,2017,UE 28,43471
44,2017,UE 28,43266
45,2017,UE 28,43638
46,2017,UE 28,42725
47,2017,UE 28,43281
48,2017,UE 28,44300
49,2017,UE 28,44484
50,2017,UE 28,38430
51,2017,UE 28,36641
52,2017,UE 28,34498
53,2017,UE 28,31732
54,2017,UE 28,28466
55,2017,UE 28,25950
56,2017,UE 28,24051
57,2017,UE 28,22595
58,2017,UE 28,20998
59,2017,UE 28,19747
60,2017,UE 28,18728
61,2017,UE 28,17921
62,2017,UE 28,17257
63,2017,UE 28,16895
64,2017,UE 28,16853
65,2017,UE 28,16847
66,2017,UE 28,17296
67,2017,UE 28,17224
68,2017,UE 28,17786
69,2017,UE 28,18354
70,2017,UE 28,17103
71,2017,UE 28,14311
72,2017,UE 28,15317
73,2017,UE 28,14095
74,2017,UE 28,13134
75,2017,UE 28,12066
76,2017,UE 28,11161
77,2017,UE 28,10735
78,2017,UE 28,9067
79,2017,UE 28,7929
80,2017,UE 28,6626
81,2017,UE 28,5754
82,2017,UE 28,5020
83,2017,UE 28,4431
84,2017,UE 28,4023
85,2017,UE 28,3779
86,2017,UE 28,3362
87,2017,UE 28,2679
88,2017,UE 28,2174
89,2017,UE 28,1893
90,2017,UE 28,7663
0,2018,UE 28,827
1,2018,UE 28,2573
2,2018,UE 28,3650
3,2018,UE 28,4298
4,2018,UE 28,4447
5,2018,UE 28,4533
6,2018,UE 28,4687
7,2018,UE 28,4977
8,2018,UE 28,5655
9,2018,UE 28,5544
10,2018,UE 28,6154
11,2018,UE 28,7354
12,2018,UE 28,8396
13,2018,UE 28,9260
14,2018,UE 28,10248
15,2018,UE 28,10822
16,2018,UE 28,11911
17,2018,UE 28,12901
18,2018,UE 28,13811
19,2018,UE 28,14702
20,2018,UE 28,15552
21,2018,UE 28,15958
22,2018,UE 28,17342
23,2018,UE 28,18391
24,2018,UE 28,19835
25,2018,UE 28,21751
26,2018,UE 28,23229
27,2018,UE 28,26022
28,2018,UE 28,28982
29,2018,UE 28,31976
30,2018,UE 28,34372
31,2018,UE 28,36137
32,2018,UE 28,36284
33,2018,UE 28,37477
34,2018,UE 28,37047
35,2018,UE 28,39005
36,2018,UE 28,41602
37,2018,UE 28,42797
38,2018,UE 28,42877
39,2018,UE 28,42872
40,2018,UE 28,43666
41,2018,UE 28,43079
42,2018,UE 28,43450
43,2018,UE 28,44145
44,2018,UE 28,42425
45,2018,UE 28,42360
46,2018,UE 28,42685
47,2018,UE 28,41821
48,2018,UE 28,42270
49,2018,UE 28,43232
50,2018,UE 28,43504
51,2018,UE 28,37765
52,2018,UE 28,36004
53,2018,UE 28,33803
54,2018,UE 28,31116
55,2018,UE 28,27918
56,2018,UE 28,25341
57,2018,UE 28,23415
58,2018,UE 28,21999
59,2018,UE 28,20390
60,2018,UE 28,19338
61,2018,UE 28,18374
62,2018,UE 28,17587
63,2018,UE 28,17042
64,2018,UE 28,16623
65,2018,UE 28,16645
66,2018,UE 28,16607
67,2018,UE 28,16814
68,2018,UE 28,16642
69,2018,UE 28,17018
